Source,Target,Value
1930011,1931011,8
1930011,1931111,8
1930110,1930111,8
1930110,1931110,8
1930110,1931111,8
1930111,1931011,8
1930111,1931110,8
2111111,2121111,8
2111111,2131111,8
2121111,2131111,8
2211010,2211011,8
2211010,2211110,8
2211010,2211111,8
2211010,2221010,8
2211010,2221011,8
2211010,2221110,8
2211010,2221111,8
2211010,2231110,8
2211010,2231111,8
2211011,2211110,8
2211011,2211111,8
2211011,2221010,8
2211011,2221011,8
2211011,2221110,8
2211011,2221111,8
2211011,2231110,8
2211011,2231111,8
2211110,2211111,8
2211110,2221010,8
2211110,2221011,8
2211110,2221110,8
2211110,2221111,8
2211110,2231110,8
2211110,2231111,8
2211111,2221010,8
2211111,2221011,8
2211111,2221110,8
2211111,2221111,8
2211111,2231110,8
2211111,2231111,8
2221010,2231110,8
2221010,2231111,8
2221011,2231110,8
2221011,2231111,8
2221110,2231110,8
2221110,2231111,8
2221111,2231110,8
2221111,2231111,8
2231110,2231111,8
2320111,2321111,8
2321101,2321111,8
2321101,2331101,8
2321101,2331111,8
2321111,2331101,8
2331101,2331111,8
2611110,2631110,8
2611110,2631111,8
2611111,2631110,8
2621011,2621111,8
2621101,2621111,8
9110101,9110111,8
9110101,9111101,8
9110101,9111111,8
9110111,9111101,8
9110111,9120111,8
9110111,9121111,8
9110111,9130111,8
9110111,9131111,8
9111001,9111011,8
9111001,9111101,8
9111001,9111111,8
9111011,9111101,8
9111011,9121011,8
9111011,9121111,8
9111011,9131011,8
9111011,9131111,8
9111111,9120111,8
9111111,9121011,8
9111111,9130111,8
9111111,9131011,8
9120011,9130011,8
9120011,9130111,8
9120011,9131011,8
9120011,9131111,8
9120101,9120111,8
9120101,9121101,8
9120101,9121111,8
9120111,9121101,8
9120111,9130011,8
9120111,9131011,8
9121001,9121011,8
9121001,9121101,8
9121001,9121111,8
9121011,9121101,8
9121011,9130011,8
9121011,9130111,8
9121111,9130011,8
9130101,9130111,8
9130101,9131101,8
9130101,9131111,8
9130111,9131101,8
9131001,9131011,8
9131001,9131101,8
9131001,9131111,8
9131011,9131101,8
9210111,9211111,8
9210111,9230111,8
9210111,9231111,8
9211110,9211111,8
9211110,9231110,8
9211110,9231111,8
9211111,9221111,8
9211111,9230111,8
9211111,9231110,8
9220011,9220111,8
9220011,9221011,8
9220011,9221111,8
9220110,9230110,8
9220110,9230111,8
9220110,9231110,8
9220110,9231111,8
9220111,9221011,8
9220111,9230110,8
9220111,9231110,8
9221010,9221011,8
9221010,9221110,8
9221010,9221111,8
9221011,9221110,8
9221011,9231011,8
9221011,9231111,8
9221110,9230110,8
9221110,9230111,8
9221111,9230110,8
9221111,9231011,8
9230011,9230111,8
9230011,9231011,8
9230011,9231111,8
9230111,9231011,8
9231010,9231011,8
9231010,9231110,8
9231010,9231111,8
9231011,9231110,8
9710011,9710111,8
9710011,9711011,8
9710011,9711111,8
9710011,9720011,8
9710011,9720111,8
9710011,9721011,8
9710011,9721111,8
9710111,9711011,8
9710111,9720011,8
9710111,9721011,8
9711011,9720011,8
9711011,9720111,8
9711110,9711111,8
9711110,9721110,8
9711110,9721111,8
9711111,9720011,8
9711111,9721110,8
9720010,9720011,8
9720010,9720110,8
9720010,9720111,8
9720010,9721010,8
9720010,9721011,8
9720010,9721110,8
9720010,9721111,8
9720011,9720110,8
9720011,9721010,8
9720011,9721110,8
9720011,9730011,8
9720011,9730111,8
9720011,9731011,8
9720011,9731111,8
9720110,9721010,8
9720110,9721011,8
9720111,9721010,8
9720111,9730011,8
9720111,9731011,8
9721011,9730011,8
9721011,9730111,8
9721110,9731110,8
9721110,9731111,8
9721111,9730011,8
9721111,9731110,8
9730010,9730011,8
9730010,9730110,8
9730010,9730111,8
9730010,9731010,8
9730010,9731011,8
9730010,9731110,8
9730010,9731111,8
9730011,9730110,8
9730011,9731010,8
9730011,9731110,8
9730110,9731010,8
9730110,9731011,8
9730111,9731010,8
1011110,1011111,7
1011110,1021110,7
1011110,1021111,7
1011110,1031110,7
1011110,1031111,7
1011111,1021110,7
1011111,1031110,7
1021110,1021111,7
1021110,1031110,7
1021110,1031111,7
1021111,1031110,7
1031110,1031111,7
1210111,1211111,7
1210111,1230111,7
1210111,1231111,7
1211111,1230111,7
1211111,1231111,7
1220111,1230111,7
1220111,1231111,7
1221111,1230111,7
1221111,1231111,7
1510111,1520111,7
1510111,1521111,7
1511111,1520111,7
1511111,1521111,7
1520011,1520111,7
1520011,1521011,7
1520011,1521111,7
1520111,1521011,7
1520111,1530111,7
1520111,1531111,7
1521111,1530111,7
1521111,1531111,7
1531110,1531111,7
1610101,1610111,7
1610101,1611101,7
1610101,1611111,7
1610101,1620101,7
1610101,1620111,7
1610101,1621101,7
1610101,1621111,7
1610101,1630101,7
1610101,1630111,7
1610101,1631101,7
1610101,1631111,7
1610111,1611101,7
1610111,1620101,7
1610111,1621101,7
1610111,1630101,7
1610111,1631101,7
1611101,1620101,7
1611101,1620111,7
1611101,1630101,7
1611101,1630111,7
1611111,1620101,7
1611111,1630101,7
1620101,1620111,7
1620101,1621101,7
1620101,1621111,7
1620101,1630101,7
1620101,1630111,7
1620101,1631101,7
1620101,1631111,7
1620111,1621101,7
1620111,1630101,7
1620111,1631101,7
1621101,1630101,7
1621101,1630111,7
1621111,1630101,7
1630101,1630111,7
1630101,1631101,7
1630101,1631111,7
1630111,1631101,7
1810101,1810111,7
1810101,1811101,7
1810101,1811111,7
1810111,1811101,7
1811001,1811011,7
1811001,1811101,7
1811001,1811111,7
1811011,1811101,7
1811111,1831111,7
1830111,1831111,7
1831011,1831111,7
1910011,1910111,7
1910011,1911011,7
1910011,1911111,7
1910011,1920011,7
1910011,1920111,7
1910011,1921011,7
1910011,1921111,7
1910110,1910111,7
1910110,1911110,7
1910110,1911111,7
1910110,1920110,7
1910110,1920111,7
1910110,1921110,7
1910110,1921111,7
1910110,1930110,7
1910110,1930111,7
1910110,1931110,7
1910110,1931111,7
1910111,1911011,7
1910111,1911110,7
1910111,1920011,7
1910111,1920110,7
1910111,1921011,7
1910111,1921110,7
1910111,1930110,7
1910111,1931110,7
1911011,1920011,7
1911011,1920111,7
1911011,1931011,7
1911011,1931111,7
1911110,1920110,7
1911110,1920111,7
1911110,1930110,7
1911110,1930111,7
1911111,1920011,7
1911111,1920110,7
1911111,1930110,7
1911111,1931011,7
1920011,1920111,7
1920011,1921011,7
1920011,1921111,7
1920110,1920111,7
1920110,1921110,7
1920110,1921111,7
1920110,1930110,7
1920110,1930111,7
1920110,1931110,7
1920110,1931111,7
1920111,1921011,7
1920111,1921110,7
1920111,1930110,7
1920111,1931110,7
1921011,1931011,7
1921011,1931111,7
1921110,1930110,7
1921110,1930111,7
1921111,1930110,7
1921111,1931011,7
1931010,1931011,7
1931010,1931110,7
1931010,1931111,7
1931011,1931110,7
2111101,2111111,7
2111101,2121101,7
2111101,2121111,7
2111101,2131101,7
2111101,2131111,7
2111110,2111111,7
2111110,2121110,7
2111110,2121111,7
2111110,2131110,7
2111110,2131111,7
2111111,2121101,7
2111111,2121110,7
2111111,2131101,7
2111111,2131110,7
2121101,2121111,7
2121101,2131101,7
2121101,2131111,7
2121110,2121111,7
2121110,2131110,7
2121110,2131111,7
2121111,2131101,7
2121111,2131110,7
2131101,2131111,7
2131110,2131111,7
2211010,2231010,7
2211010,2231011,7
2211011,2231010,7
2211011,2231011,7
2211110,2231010,7
2211110,2231011,7
2211111,2231010,7
2211111,2231011,7
2221010,2231010,7
2221010,2231011,7
2221011,2231010,7
2221011,2231011,7
2221110,2231010,7
2221110,2231011,7
2221111,2231010,7
2221111,2231011,7
2231010,2231011,7
2231010,2231110,7
2231010,2231111,7
2231011,2231110,7
2231011,2231111,7
2310110,2310111,7
2310110,2311110,7
2310110,2311111,7
2310111,2311110,7
2310111,2311111,7
2311100,2311101,7
2311100,2311110,7
2311100,2311111,7
2311100,2321100,7
2311100,2321101,7
2311100,2321110,7
2311100,2321111,7
2311100,2331100,7
2311100,2331101,7
2311100,2331110,7
2311100,2331111,7
2311101,2311110,7
2311101,2311111,7
2311101,2321100,7
2311101,2321101,7
2311101,2321110,7
2311101,2321111,7
2311101,2331100,7
2311101,2331101,7
2311101,2331110,7
2311101,2331111,7
2311110,2321100,7
2311110,2321101,7
2311110,2331100,7
2311110,2331101,7
2311111,2321100,7
2311111,2321101,7
2311111,2331100,7
2311111,2331101,7
2320110,2320111,7
2320110,2321110,7
2320110,2321111,7
2320111,2321110,7
2320111,2330111,7
2320111,2331111,7
2321011,2321111,7
2321100,2321101,7
2321100,2321110,7
2321100,2321111,7
2321100,2331100,7
2321100,2331101,7
2321100,2331110,7
2321100,2331111,7
2321101,2321110,7
2321101,2331100,7
2321101,2331110,7
2321110,2331100,7
2321110,2331101,7
2321111,2330111,7
2321111,2331100,7
2330111,2331111,7
2331100,2331101,7
2331100,2331110,7
2331100,2331111,7
2331101,2331110,7
2610111,2611111,7
2610111,2620111,7
2610111,2621111,7
2610111,2630111,7
2610111,2631111,7
2611011,2611111,7
2611011,2621011,7
2611011,2621111,7
2611101,2611111,7
2611101,2621101,7
2611101,2621111,7
2611111,2620111,7
2611111,2621011,7
2611111,2621101,7
2611111,2630111,7
2620111,2621111,7
2620111,2630111,7
2620111,2631111,7
2621010,2621011,7
2621010,2621110,7
2621010,2621111,7
2621011,2621110,7
2621011,2631011,7
2621011,2631111,7
2621100,2621101,7
2621100,2621110,7
2621100,2621111,7
2621101,2621110,7
2621101,2631101,7
2621101,2631111,7
2621111,2630111,7
2621111,2631011,7
2621111,2631101,7
2630111,2631111,7
2631011,2631111,7
2631101,2631111,7
9110001,9110011,7
9110001,9110101,7
9110001,9110111,7
9110001,9111001,7
9110001,9111011,7
9110001,9111101,7
9110001,9111111,7
9110011,9110101,7
9110011,9111001,7
9110011,9111101,7
9110011,9120011,7
9110011,9120111,7
9110011,9121011,7
9110011,9121111,7
9110011,9130011,7
9110011,9130111,7
9110011,9131011,7
9110011,9131111,7
9110101,9111001,7
9110101,9111011,7
9110111,9111001,7
9110111,9120011,7
9110111,9121011,7
9110111,9130011,7
9110111,9131011,7
9111011,9120011,7
9111011,9120111,7
9111011,9130011,7
9111011,9130111,7
9111111,9120011,7
9111111,9130011,7
9120001,9120011,7
9120001,9120101,7
9120001,9120111,7
9120001,9121001,7
9120001,9121011,7
9120001,9121101,7
9120001,9121111,7
9120011,9120101,7
